Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Tongue River Electric Coop Inc,MT,Cooperative,"4,258","51,389","7,360.0",14.32
USBIA-Mission Valley Power,MT,Federal,"14,512","217,040","14,491.0",6.68
"Vigilante Electric Coop, Inc",MT,Cooperative,"7,809","94,838","7,462.2",7.87
Yellowstone Valley Elec Co-op,MT,Cooperative,"15,863","185,958","23,304.0",12.53
Albemarle Electric Member Corp,NC,Cooperative,"11,555","168,200","21,270.0",12.65
Blue Ridge Elec Member Corp - (NC),NC,Cooperative,"62,339","676,825","86,063.0",12.72
Blue Ridge Mountain EMC - (GA),NC,Cooperative,"13,198","133,406","16,416.0",12.31
"Broad River Electric Coop, Inc",NC,Cooperative,405,"5,496",744.3,13.54
Brunswick Electric Member Corp,NC,Cooperative,"80,845","943,247","122,186.0",12.95
Cape Hatteras Elec Member Corp,NC,Cooperative,"6,444","88,865","11,959.0",13.46
Carteret-Craven El Member Corp,NC,Cooperative,"35,030","414,876","47,778.3",11.52
Central Electric Membership Corp. - (NC),NC,Cooperative,"19,002","289,251","34,349.6",11.88
City of Albemarle - (NC),NC,Municipal,"9,723","121,705","15,047.0",12.36
City of Concord - (NC),NC,Municipal,"23,644","302,170","32,258.0",10.68
City of Elizabeth City,NC,Municipal,"10,108","130,734","18,154.0",13.89
City of Gastonia,NC,Municipal,"22,907","242,168","29,431.1",12.15
City of Kings Mountain - (NC),NC,Municipal,"3,558","46,078","4,865.0",10.56
City of Kinston - (NC),NC,Municipal,"9,857","126,695","18,801.0",14.84
City of Laurinburg - (NC),NC,Municipal,"4,684","51,185","6,821.0",13.33
City of Lexington - (NC),NC,Municipal,"16,141","210,112","26,580.8",12.65
City of Lumberton - (NC),NC,Municipal,"10,187","91,362","12,548.0",13.73
City of Monroe - (NC),NC,Municipal,"8,407","98,879","11,786.5",11.92
City of Morganton - (NC),NC,Municipal,"6,486","65,211","8,011.0",12.28
City of New Bern - (NC),NC,Municipal,"17,845","222,050","30,815.0",13.88
City of Newton - (NC),NC,Municipal,"3,957","45,563","5,337.0",11.71
City of Rocky Mount - (NC),NC,Municipal,"23,466","283,984","40,177.0",14.15
City of Shelby - (NC),NC,Municipal,"6,052","68,921","7,526.0",10.92
City of Statesville - (NC),NC,Municipal,"10,323","106,715","11,884.0",11.14
City of Washington - (NC),NC,Municipal,"11,061","127,992","17,684.8",13.82
City of Wilson,NC,Municipal,"29,312","375,550","53,421.0",14.22
"Duke Energy Carolinas, LLC",NC,Investor Owned,"1,596,735","20,178,563","2,061,926.8",10.22
Edgecombe-Martin County E M C,NC,Cooperative,"10,581","156,153","19,549.0",12.52
EnergyUnited Elec Member Corp,NC,Cooperative,"105,142","1,522,476","156,238.0",10.26
Four County Elec Member Corp,NC,Cooperative,"29,234","440,772","54,820.0",12.44
French Broad Elec Member Corp,NC,Cooperative,"32,997","285,307","37,115.7",13.01
Greenville Utilities Comm,NC,Municipal,"56,896","664,381","87,086.0",13.11
Halifax Electric Member Corp,NC,Cooperative,"10,535","121,315","17,617.0",14.52
Haywood Electric Member Corp,NC,Cooperative,"25,178","231,766","36,048.0",15.55
Jones-Onslow Elec Member Corp,NC,Cooperative,"64,151","831,236","92,121.0",11.08
Lumbee River Elec Member Corp,NC,Cooperative,"54,670","888,376","96,752.0",10.89
"Mecklenburg Electric Coop, Inc",NC,Cooperative,127,"1,438",192.6,13.39
"Mountain Electric Coop, Inc",NC,Cooperative,"12,499","142,752","14,754.0",10.34
New River Light & Power Co,NC,State,"5,852","48,944","5,104.0",10.43
Pee Dee Electric Member Corp,NC,Cooperative,"19,962","262,939","32,941.2",12.53
Piedmont Electric Member Corp,NC,Cooperative,"27,379","376,348","52,766.0",14.02
Pitt & Greene Elec Member Corp,NC,Cooperative,"7,242","116,105","14,989.0",12.91
Progress Energy Carolinas Inc,NC,Investor Owned,"1,096,257","14,706,486","1,533,747.0",10.43
Public Works Comm-City of Fayetteville,NC,Municipal,"70,648","872,878","90,837.0",10.41
Randolph Electric Member Corp,NC,Cooperative,"29,154","355,471","46,022.0",12.95
Roanoke Electric Member Corp,NC,Cooperative,"12,462","177,124","22,928.8",12.95
Rutherford Elec Member Corp,NC,Cooperative,"62,361","852,068","95,282.7",11.18
South River Elec Member Corp,NC,Cooperative,"39,946","609,992","74,307.0",12.18
Surry-Yadkin Elec Member Corp,NC,Cooperative,"26,670","336,165","42,316.0",12.59
Tideland Electric Member Corp,NC,Cooperative,"19,675","219,596","30,339.0",13.82
Town of Apex- (NC),NC,Municipal,"13,614","152,972","16,439.8",10.75
Town of Ayden,NC,Municipal,"4,062","43,506","5,888.0",13.53
Town of Clayton,NC,Municipal,"4,635","54,705","7,630.0",13.95
Town of Edenton - (NC),NC,Municipal,"3,389","38,975","5,307.0",13.62
Town of Forest City,NC,Municipal,"3,198","33,674","3,962.0",11.77
Town of High Point,NC,Municipal,"33,547","366,613","43,633.0",11.90
Town of Huntersville- (NC),NC,Municipal,"4,026","49,917","5,059.7",10.14
Town of Murphy - (NC),NC,Municipal,"3,373","40,497","4,667.0",11.52
Town of Pineville - (NC),NC,Municipal,"2,061","22,064","2,342.0",10.61
Town of Smithfield - (NC),NC,Municipal,"3,398","39,025","5,104.0",13.08
Town of Tarboro - (NC),NC,Municipal,"5,164","57,495","8,387.0",14.59
Town of Wake Forest - (NC),NC,Municipal,"5,363","61,007","8,230.0",13.49
Tri-County Elec Member Corp,NC,Cooperative,"20,140","316,451","35,154.2",11.11
Tri-State Electric Member Corp,NC,Cooperative,"1,263","11,025","1,409.0",12.78
Union Electric Membership Corp - (NC),NC,Cooperative,"66,138","991,771","114,769.0",11.57
Virginia Electric & Power Co,NC,Investor Owned,"101,024","1,502,310","155,872.1",10.38
Wake Electric Membership Corp,NC,Cooperative,"33,776","494,547","59,377.5",12.01
Burke-Divide Electric Coop Inc,ND,Cooperative,"2,004","32,600","3,224.0",9.89
"Capital Electric Coop, Inc",ND,Cooperative,"14,922","178,312","16,472.2",9.24
Cass County Elec Coop Inc,ND,Cooperative,"33,409","486,314","52,857.0",10.87
City of Lakota - (ND),ND,Municipal,407,"7,472",531.6,7.11
City of Valley City,ND,Municipal,"3,299","42,000","2,820.0",6.71
Dakota Valley Elec Coop Inc,ND,Cooperative,"5,264","104,865","9,824.5",9.37
KEM Electric Coop Inc,ND,Cooperative,"2,617","36,412","3,956.8",10.87
"Lower Yellowstone R E A, Inc",ND,Cooperative,617,"9,467",721.0,7.62
McKenzie Electric Coop Inc,ND,Cooperative,"6,208","113,451","9,052.0",7.98
"McLean Electric Coop, Inc",ND,Cooperative,"3,097","42,168","4,793.0",11.37
Montana-Dakota Utilities Co,ND,Investor Owned,"69,594","714,138","59,109.0",8.28
Mor-Gran-Sou Electric Coop Inc,ND,Cooperative,"6,666","76,992","11,116.8",14.44
Mountrail-Williams Elec Coop,ND,Cooperative,"7,877","119,940","9,241.0",7.70
Nodak Electric Coop Inc,ND,Cooperative,"17,295","356,082","37,077.0",10.41
"North Central Elec Coop, Inc",ND,Cooperative,"5,934","117,125","9,612.0",8.21
Northern Plains Electric Coop,ND,Cooperative,"9,842","199,230","16,728.0",8.40
Northern States Power Co - Minnesota,ND,Investor Owned,"76,719","758,810","69,006.0",9.09
Otter Tail Power Co,ND,Investor Owned,"44,653","590,455","46,972.5",7.96
Roughrider Electric Cooperativ,ND,Cooperative,"8,763","136,006","10,571.1",7.77
"Sheridan Electric Coop, Inc",ND,Cooperative,263,"3,032",250.3,8.26
Slope Electric Coop Inc,ND,Cooperative,"3,006","42,841","3,226.2",7.53
"Traverse Electric Coop, Inc",ND,Cooperative,23,443,46.0,10.38
Verendrye Electric Coop Inc,ND,Cooperative,"12,569","201,898","17,559.5",8.70
Auburn Board of Public Works,NE,Municipal,"1,979","24,534","2,155.0",8.78
Burt County Public Power Dist,NE,Political Subdivision,"3,271","54,406","6,797.0",12.49
Butler Public Power District - (NE),NE,Political Subdivision,"4,567","62,654","6,799.0",10.85
Cedar-Knox Public Power Dist,NE,Political Subdivision,"5,396","86,083","7,494.0",8.71
"Cherry-Todd Electric Coop, Inc",NE,Cooperative,810,"11,796","1,078.7",9.14
Chimney Rock Public Power Dist,NE,Political Subdivision,"1,975","22,474","2,966.0",13.20
City of Alliance- (NE),NE,Municipal,"4,150","40,738","3,598.0",8.83
City of Beatrice - (NE),NE,Municipal,"5,891","67,960","6,257.0",9.21
City of Broken Bow - (NE),NE,Municipal,"1,731","22,079","1,854.0",8.40
City of Cambridge - (NE),NE,Municipal,491,"5,832",658.0,11.28
City of Central City,NE,Municipal,"1,359","16,639","1,679.6",10.09
City of Crete,NE,Municipal,"2,449","26,689","2,024.0",7.58
City of David City,NE,Municipal,"1,207","14,914","1,388.0",9.31
City of Fairbury,NE,Municipal,"2,683","32,152","2,657.0",8.26
City of Falls City - (NE),NE,Municipal,"2,149","24,531","1,794.9",7.32
City of Fremont - (NE),NE,Municipal,"12,197","143,418","11,099.0",7.74
City of Gering - (NE),NE,Municipal,"3,455","33,915","4,346.0",12.81
City of Gothenburg - (NE),NE,Municipal,"1,474","20,123","1,580.0",7.85
City of Grand Island - (NE),NE,Municipal,"20,303","214,430","19,909.0",9.28
City of Hastings - (NE),NE,Municipal,"10,742","111,109","9,418.9",8.48
City of Hebron - (NE),NE,Municipal,743,"8,710",796.0,9.14
City of Holdrege,NE,Municipal,"2,511","28,150","2,580.1",9.17
City of Imperial,NE,Municipal,974,"11,897","1,011.0",8.50
City of Kimball,NE,Municipal,"1,233","10,536","1,128.0",10.71
City of Lexington - (NE),NE,Municipal,"3,411","46,464","4,618.2",9.94
City of Madison - (NE),NE,Municipal,803,"13,065","1,085.0",8.30
City of Minden - (NE),NE,Municipal,"1,314","14,551","1,853.3",12.74
City of Nebraska City,NE,Municipal,"4,736","53,562","5,700.0",10.64
City of Neligh - (NE),NE,Municipal,866,"9,384",959.0,10.22
City of North Platte,NE,Municipal,"11,617","121,413","10,885.0",8.97
City of Ord - (NE),NE,Municipal,"1,128","15,713","1,276.0",8.12
City of Pierce - (NE),NE,Municipal,994,"12,220",973.0,7.96
City of Schuyler - (NE),NE,Municipal,"2,105","27,738","2,577.0",9.29
City of Seward - (NE),NE,Municipal,"2,725","27,804","2,826.0",10.16
City of Sidney,NE,Municipal,"3,008","27,501","2,946.0",10.71
City of South Sioux City,NE,Municipal,"4,667","54,859","6,332.0",11.54
City of St Paul - (NE),NE,Municipal,941,"11,491","1,170.0",10.18
City of Superior - (NE),NE,Municipal,"1,048","9,953","1,116.0",11.21
City of Syracuse - (NE),NE,Municipal,980,"9,044",957.6,10.59
City of Tecumseh,NE,Municipal,821,"8,344",967.0,11.59
City of Valentine - (NE),NE,Municipal,"1,401","22,414","1,773.2",7.91
City of Wahoo - (NE),NE,Municipal,"1,841","22,079","1,802.0",8.16
City of Wakefield - (NE),NE,Municipal,565,"5,122",538.0,10.50
City of Wayne,NE,Municipal,"1,957","18,527","1,784.0",9.63
City of West Point - (NE),NE,Municipal,"1,476","15,652","1,329.0",8.49
Cornhusker Public Power Dist,NE,Political Subdivision,"6,833","118,000","12,557.0",10.64
Cozad Board of Public Works,NE,Municipal,"1,711","21,409","1,952.0",9.12
Cuming County Public Pwr Dist,NE,Political Subdivision,"2,822","47,359","4,516.0",9.54
Custer Public Power District,NE,Political Subdivision,"4,514","71,276","7,673.0",10.77
Dawson Power District,NE,Political Subdivision,"15,521","229,089","22,829.0",9.97
Elkhorn Rural Public Pwr Dist,NE,Political Subdivision,"5,912","97,147","9,661.0",9.94
"High West Energy, Inc",NE,Cooperative,"1,749","18,841","2,095.0",11.12
Highline Electric Assn,NE,Cooperative,756,"7,796",897.4,11.51
Howard Greeley Rural P P D,NE,Political Subdivision,"3,597","50,491","4,909.0",9.72
KBR Rural Public Power District,NE,Political Subdivision,"3,314","34,314","4,313.7",12.57
"LaCreek Electric Assn, Inc",NE,Cooperative,163,"2,032",213.0,10.48
Lincoln Electric System,NE,Municipal,"113,829","1,186,864","105,602.2",8.90
Loup River Public Power Dist,NE,Political Subdivision,"14,787","228,279","19,777.0",8.66
Loup Valleys Rural P P D,NE,Political Subdivision,"2,336","36,337","3,685.0",10.14
McCook Public Power District,NE,Political Subdivision,"3,658","36,284","4,564.9",12.58
Midwest Electric Member Corp,NE,Cooperative,"3,161","33,828","3,991.0",11.80
Nebraska Public Power District,NE,Political Subdivision,"69,365","812,140","99,412.0",12.24
Niobrara Valley El Member Corp,NE,Cooperative,"4,612","46,117","5,168.3",11.21
Norris Public Power District,NE,Political Subdivision,"12,896","232,249","22,217.0",9.57
North Central Public Pwr Dist,NE,Political Subdivision,"3,538","40,541","4,684.6",11.56
Northeast Nebraska P P D,NE,Political Subdivision,"6,706","104,478","10,015.0",9.59
Northwest Rural Pub Pwr Dist,NE,Political Subdivision,"1,409","21,688","3,444.0",15.88
Omaha Public Power District,NE,Political Subdivision,"308,516","3,588,983","363,033.0",10.12
Panhandle Rural El Member Assn,NE,Cooperative,"1,791","29,359","3,734.0",12.72
Perennial Public Power Dist,NE,Political Subdivision,"4,156","81,286","7,871.9",9.68
Polk County Rural Pub Pwr Dist,NE,Political Subdivision,"2,855","39,340","4,645.0",11.81
Roosevelt Public Power Dist,NE,Political Subdivision,"2,075","30,012","3,455.0",11.51
Seward County Rrl Pub Pwr Dist,NE,Political Subdivision,"3,145","54,994","5,706.0",10.38
South Central Public Pwr Dist,NE,Political Subdivision,"3,625","58,857","5,363.0",9.11
Southern Public Power District,NE,Political Subdivision,"14,904","223,998","22,070.4",9.85
Southwest Public Power Dist,NE,Political Subdivision,"2,250","35,029","3,395.0",9.69
Stanton County Public Pwr Dist,NE,Political Subdivision,"2,185","27,967","3,242.3",11.59
Twin Valleys Public Power Dist,NE,Political Subdivision,"4,068","36,908","4,260.0",11.54
Wheat Belt Public Power Dist,NE,Political Subdivision,"3,200","32,821","4,207.4",12.82
Wyrulec Company,NE,Cooperative,290,"2,597",377.2,14.52
Granite State Electric Co,NH,Investor Owned,"35,694","292,070","37,210.4",12.74
New Hampshire Elec Coop Inc,NH,Cooperative,"68,277","445,734","77,926.0",17.48
Public Service Co of NH,NH,Investor Owned,"412,264","3,030,181","503,700.0",16.62
Town of Wolfeboro,NH,Municipal,"4,559","32,361","5,359.0",16.56
Unitil Energy Systems,NH,Investor Owned,"63,567","491,106","68,685.0",13.99
Atlantic City Electric Co,NJ,Investor Owned,"405,549","3,580,212","604,669.7",16.89
Borough of Butler - (NJ),NJ,Municipal,"9,776","96,416","16,031.3",16.63
Borough of Madison - (NJ),NJ,Municipal,"5,644","69,749","14,426.0",20.68
City of Vineland - (NJ),NJ,Municipal,"21,933","211,618","31,436.0",14.86
Jersey Central Power & Lt Co,NJ,Investor Owned,"815,239","7,648,658","1,107,833.1",14.48
Public Service Elec & Gas Co,NJ,Investor Owned,"1,663,532","11,765,326","1,930,231.0",16.41
Rockland Electric Co,NJ,Investor Owned,"58,044","667,144","110,327.6",16.54
Sussex Rural Electric Coop Inc,NJ,Cooperative,"11,492","126,976","16,580.0",13.06
"Central New Mexico El Coop, Inc",NM,Cooperative,"15,879","114,811","16,622.0",14.48
"Central Valley Elec Coop, Inc",NM,Cooperative,"5,180","69,221","5,355.3",7.74
City of Farmington - (NM),NM,Municipal,"34,240","274,714","22,507.0",8.19
City of Gallup,NM,Municipal,"8,509","51,452","5,640.0",10.96
"Columbus Electric Coop, Inc",NM,Cooperative,"3,542","23,916","3,578.5",14.96
Continental Divide El Coop Inc,NM,Cooperative,"20,580","145,087","17,227.7",11.87
El Paso Electric Co,NM,Investor Owned,"81,027","673,245","79,910.0",11.87
"Farmers Electric Coop, Inc - (NM)",NM,Cooperative,"9,764","90,792","8,586.0",9.46
"Jemez Mountains Elec Coop, Inc",NM,Cooperative,"27,229","179,145","22,506.0",12.56
"Kit Carson Electric Coop, Inc",NM,Cooperative,"24,309","134,698","19,467.0",14.45
"Lea County Electric Coop, Inc",NM,Cooperative,"6,759","78,524","6,255.0",7.97
Los Alamos County,NM,Municipal,"7,792","57,923","5,739.7",9.91
Mora-San Miguel Elec Coop,NM,Cooperative,"10,575","55,175","8,460.8",15.33
Navajo Tribal Utility Authority,NM,State,"8,031","45,426","4,404.0",9.69
"Navopache Electric Coop, Inc",NM,Cooperative,"1,339","6,950",947.2,13.63
Otero County Electric Coop Inc,NM,Cooperative,"15,359","89,797","14,209.0",15.82
Public Service Co of NM,NM,Investor Owned,"449,652","3,323,544","409,005.0",12.31
"Rio Grande Electric Coop, Inc",NM,Cooperative,239,"1,514",281.0,18.56
Roosevelt County Elec Coop Inc,NM,Cooperative,"3,745","46,349","3,691.0",7.96
"Sierra Electric Coop, Inc",NM,Cooperative,"3,595","22,612","3,877.0",17.15
"Socorro Electric Coop, Inc",NM,Cooperative,"11,296","70,290","10,910.3",15.52
Southwestern Electric Coop Inc - (NM),NM,Cooperative,"1,424","10,109","1,747.2",17.28
Southwestern Public Service Co,NM,Investor Owned,"91,966","1,093,792","83,492.0",7.63
"Springer Electric Coop, Inc",NM,Cooperative,"2,455","14,321","2,341.0",16.35
"Tri-County Electric Coop, Inc",NM,Cooperative,4,18,2.9,16.11
City of Boulder City - (NV),NV,Municipal,"6,830","99,684","8,167.6",8.19
"Harney Electric Coop, Inc",NV,Cooperative,736,"11,323",810.0,7.15
"Mt Wheeler Power, Inc",NV,Cooperative,"5,010","72,963","5,097.0",6.99
Nevada Power Co,NV,Investor Owned,"746,361","9,097,588","1,105,177.0",12.15
Overton Power District No 5,NV,Political Subdivision,"11,356","160,550","16,777.0",10.45
Plumas-Sierra Rural Elec Coop,NV,Cooperative,370,"3,979",685.0,17.22
Raft Rural Elec Coop Inc,NV,Cooperative,"1,468","15,277","1,302.0",8.52
Sierra Pacific Power Co,NV,Investor Owned,"279,231","2,284,198","252,369.0",11.05
Surprise Valley Electrificatio,NV,Cooperative,4,38,3.1,8.16
"Valley Electric Assn, Inc",NV,Cooperative,"18,237","268,886","33,020.0",12.28
Wells Rural Electric Co,NV,Cooperative,"4,299","51,949","4,608.0",8.87
Central Hudson Gas & Elec Corp,NY,Investor Owned,"225,159","1,800,614","292,138.2",16.22
City of Plattsburgh - (NY),NY,Municipal,"8,557","148,371","6,467.1",4.36
City of Salamanca - (NY),NY,Municipal,"3,143","42,492","2,048.0",4.82
Consolidated Edison Co-NY Inc,NY,Investor Owned,"2,161,397","10,717,525","2,748,928.0",25.65
Fishers Island Utility Co Inc,NY,Investor Owned,655,"3,937","1,638.0",41.61
Jamestown Board of Public Util,NY,Municipal,"16,649","158,952","11,891.4",7.48
"Lake Placid Village, Inc",NY,Municipal,"3,941","65,321","3,804.0",5.82
Long Island Power Authority,NY,State,"998,404","9,734,394","1,852,640.6",19.03
New York State Elec & Gas Corp,NY,Investor Owned,"576,672","4,847,889","518,607.8",10.70
Niagara Mohawk Power Corp.,NY,Investor Owned,"1,174,731","9,036,230","1,166,274.3",12.91
Orange & Rockland Utils Inc,NY,Investor Owned,"120,892","954,763","160,886.5",16.85
Pennsylvania Electric Co,NY,Investor Owned,"3,246","33,474","3,181.2",9.50
Rochester Gas & Electric Corp,NY,Investor Owned,"245,761","1,926,700","235,207.0",12.21
"Steuben Rural Elec Coop, Inc",NY,Cooperative,"6,056","62,720","8,055.4",12.84
Town of Massena - (NY),NY,Municipal,"8,218","113,354","6,728.0",5.94
Village of Arcade,NY,Municipal,"3,581","66,197","3,286.0",4.96
Village of Fairport,NY,Municipal,"15,283","238,473","11,045.8",4.63
Village of Freeport,NY,Municipal,"12,833","123,129","14,429.0",11.72
Village of Rockville Centre,NY,Municipal,"9,813","97,349","10,647.0",10.94
Village of Rouses Point,NY,Municipal,"1,152","23,877",736.9,3.09
Village of Solvay- (NY),NY,Municipal,"4,686","58,921","3,223.0",5.47
"Adams Rural Electric Coop, Inc",OH,Cooperative,"7,403","93,465","12,972.0",13.88
"Buckeye Rural Elec Coop, Inc",OH,Cooperative,"18,026","225,318","32,930.7",14.62
Butler Rural Electric Coop Inc - (OH),OH,Cooperative,"10,815","178,553","25,960.0",14.54
"Carroll Electric Coop, Inc - (OH)",OH,Cooperative,"10,795","124,478","16,503.0",13.26
City of Amherst- (OH),OH,Municipal,"5,272","55,809","5,324.0",9.54
City of Bowling Green - (OH),OH,Municipal,"12,682","100,872","10,859.0",10.77
City of Bryan - (OH),OH,Municipal,"5,049","46,799","4,692.6",10.03
City of Celina,OH,Municipal,"6,786","71,097","6,610.0",9.30
City of Cleveland - (OH),OH,Municipal,"65,078","415,340","47,281.0",11.38
City of Columbus - (OH),OH,Municipal,"9,502","66,118","8,955.0",13.54
City of Cuyahoga Falls- (OH),OH,Municipal,"22,661","179,798","17,583.3",9.78
City of Dover - (OH),OH,Municipal,"5,772","58,606","6,397.0",10.92
City of Galion,OH,Municipal,"5,742","48,532","4,720.5",9.73
City of Hamilton - (OH),OH,Municipal,"26,052","258,386","28,237.2",10.93
City of Hudson,OH,Municipal,"5,663","75,895","8,318.0",10.96
City of Jackson - (OH),OH,Municipal,"3,395","34,469","4,165.0",12.08
City of Lebanon - (OH),OH,Municipal,"8,039","85,868","9,619.3",11.20
City of Napoleon - (OH),OH,Municipal,"5,111","49,976","5,416.8",10.84
City of Niles - (OH),OH,Municipal,"10,214","79,222","8,332.0",10.52
City of Oberlin - (OH),OH,Municipal,"2,751","20,633","2,252.0",10.91
City of Orrville - (OH),OH,Municipal,"6,339","78,213","7,097.0",9.07
City of Painesville,OH,Municipal,"10,181","83,195","9,770.4",11.74
City of Piqua - (OH),OH,Municipal,"9,559","88,836","8,368.0",9.42
City of Shelby - (OH),OH,Municipal,"4,874","46,794","4,975.7",10.63
City of St Marys - (OH),OH,Municipal,"3,575","36,785","3,532.4",9.60
City of Tipp City,OH,Municipal,"4,352","46,876","4,651.0",9.92
City of Wadsworth,OH,Municipal,"11,091","98,755","12,760.0",12.92
City of Wapakoneta - (OH),OH,Municipal,"4,701","49,046","4,207.0",8.58
City of Westerville - (OH),OH,Municipal,"14,275","174,540","17,901.5",10.26
Cleveland Electric Illum Co,OH,Investor Owned,"163,387","1,327,386","153,983.1",11.60
Clyde Light & Power,OH,Municipal,"2,658","24,352","2,513.0",10.32
Consolidated Electric Coop Inc,OH,Cooperative,"14,321","230,983","27,171.0",11.76
"Darke Rural Electric Coop, Inc",OH,Cooperative,"4,888","84,184","10,248.0",12.17
Dayton Power & Light Co,OH,Investor Owned,"373,168","4,122,293","562,686.0",13.65
Duke Energy Ohio Inc,OH,Investor Owned,"393,489","4,347,386","462,401.2",10.64
"Firelands Electric Coop, Inc",OH,Cooperative,"8,482","120,469","15,374.0",12.76
Frontier Power Company,OH,Cooperative,"8,014","95,887","12,263.0",12.79
Guernsey-Muskingum El Coop Inc,OH,Cooperative,"14,750","163,533","22,519.0",13.77
Hancock-Wood Electric Coop Inc,OH,Cooperative,"10,867","149,915","20,027.0",13.36
Holmes-Wayne Electric Coop Inc,OH,Cooperative,"13,868","181,192","22,049.4",12.17
Licking Rural Electric Inc,OH,Cooperative,"23,076","305,776","41,174.2",13.47
Logan County Coop Power & Light,OH,Cooperative,"4,282","62,592","8,225.1",13.14
"Lorain-Medina R E C, Inc",OH,Cooperative,"14,702","208,295","25,180.0",12.09
"Mid-Ohio Energy Coop, Inc",OH,Cooperative,"7,077","113,833","14,120.4",12.40
"Midwest Electric, Inc",OH,Cooperative,"10,302","170,717","20,757.0",12.16
Midwest Energy Cooperative,OH,Cooperative,895,"11,129","1,402.8",12.60
"North Central Elec Coop, Inc",OH,Cooperative,"8,548","126,897","15,114.0",11.91
"North Western Elec Coop, Inc",OH,Cooperative,"5,601","80,726","10,326.0",12.79
Ohio Edison Co,OH,Investor Owned,"302,712","3,198,136","363,005.4",11.35
Ohio Power Co,OH,Investor Owned,"1,103,135","12,413,637","1,532,093.5",12.34
"Paulding-Putman Elec Coop, Inc",OH,Cooperative,"9,005","146,223","15,889.0",10.87
"Pioneer Rural Elec Coop, Inc - (OH)",OH,Cooperative,"15,593","244,465","32,340.2",13.23
South Central Power Company,OH,Cooperative,"106,437","1,425,880","164,242.0",11.52
The Toledo Edison Co,OH,Investor Owned,"87,420","830,972","96,999.6",11.67
"Union Rural Electric Coop, Inc",OH,Cooperative,"8,176","123,148","15,406.0",12.51
Village of Minster - (OH),OH,Municipal,"1,205","14,738","1,281.0",8.69
Village of Yellow Springs,OH,Municipal,"1,873","14,457","1,488.0",10.29
Washington Electric Coop - (OH),OH,Cooperative,"8,200","82,079","12,431.7",15.15
"Alfalfa Electric Coop, Inc",OK,Cooperative,"2,665","47,650","4,331.0",9.09
Arkansas Valley Elec Coop Corp,OK,Cooperative,"3,980","57,460","4,947.0",8.61
"Caddo Electric Coop, Inc",OK,Cooperative,"15,200","180,389","21,652.0",12.00
"Canadian Valley Elec Coop, Inc",OK,Cooperative,"21,331","316,788","31,120.0",9.82
"Central Rural Electric Cooperative, Inc",OK,Cooperative,"15,954","276,515","26,099.0",9.44
Choctaw Electric Coop Inc,OK,Cooperative,"17,919","229,965","31,681.0",13.78
Cimarron Electric Coop,OK,Cooperative,"12,491","137,403","15,746.0",11.46
City of Altus - (OK),OK,Municipal,"8,355","105,484","12,380.6",11.74
City of Claremore,OK,Municipal,"10,022","119,376","14,360.0",12.03
City of Cushing - (OK),OK,Municipal,"3,686","41,044","4,303.0",10.48
City of Duncan - (OK),OK,Municipal,"7,425","94,999","9,003.7",9.48
City of Edmond - (OK),OK,Municipal,"32,606","497,346","43,622.3",8.77
City of Mangum - (OK),OK,Municipal,"1,468","15,482","1,678.1",10.84
City of Miami - (OK),OK,Municipal,"5,536","64,622","5,408.0",8.37
City of Pawhuska - (OK),OK,Municipal,"1,649","24,670","1,985.0",8.05
City of Ponca City - (OK),OK,Municipal,"14,823","159,709","17,745.0",11.11
City of Pryor - (OK),OK,Municipal,"3,830","43,802","3,641.0",8.31
City of Sallisaw - (OK),OK,Municipal,"3,522","48,543","4,562.0",9.40
City of Stilwell - (OK),OK,Municipal,"1,524","13,179","1,350.0",10.24
"Cookson Hills Elec Coop, Inc",OK,Cooperative,"16,374","231,096","23,202.0",10.04
"Cotton Electric Coop, Inc",OK,Cooperative,"17,880","277,029","28,565.0",10.31
East Central Oklahoma Elec Coop Inc,OK,Cooperative,"28,368","388,136","38,368.0",9.89
Empire District Electric Co,OK,Investor Owned,"3,821","51,308","4,994.5",9.73
"Indian Electric Coop, Inc",OK,Cooperative,"13,878","219,845","21,616.6",9.83
Kay Electric Coop,OK,Cooperative,"4,236","50,180","5,975.0",11.91
"Kiamichi Electric Coop, Inc",OK,Cooperative,"18,612","232,621","24,992.4",10.74
"Kiwash Electric Coop, Inc",OK,Cooperative,"5,451","58,237","6,694.0",11.49
"Lake Region Electric Coop, Inc - (OK)",OK,Cooperative,"22,220","298,911","28,957.0",9.69
Northeast Oklahoma Electric Co,OK,Cooperative,"34,532","436,508","48,233.0",11.05
"Northfork Electric Coop, Inc",OK,Cooperative,"5,274","62,265","7,196.2",11.56
Northwestern Electric Coop Inc - (OK),OK,Cooperative,"9,162","101,050","12,599.0",12.47
Oklahoma Electric Coop Inc,OK,Cooperative,"45,721","719,201","79,425.0",11.04
Oklahoma Gas & Electric Co,OK,Investor Owned,"625,663","8,422,475","822,079.0",9.76
Ozarks Electric Coop Corp - (AR),OK,Cooperative,"10,992","134,728","13,629.0",10.12
People's Electric Cooperative,OK,Cooperative,"13,384","218,865","24,340.0",11.12
Prague Public Works Authority,OK,Municipal,"1,070","14,061","1,357.4",9.65
Public Service Co of Oklahoma,OK,Investor Owned,"459,941","6,393,316","512,372.0",8.01
Red River Valley Rrl Elec Assn,OK,Cooperative,"13,569","164,528","16,743.0",10.18
