Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Goodhue County Coop Elec Assn,MN,Cooperative,"4,655","80,946","9,988.0",12.34
Grand Rapids Public Util Comm,MN,Municipal,"5,619","47,918","4,322.0",9.02
H-D Electric Coop Inc,MN,Cooperative,10,153,16.0,10.46
Hawley Public Utilities Comm,MN,Municipal,900,"10,160","1,151.0",11.33
Heartland Power Coop,MN,Cooperative,39,804,76.0,9.45
Hibbing Public Utilities Comm,MN,Municipal,"7,255","49,989","5,821.3",11.65
Hutchinson Utilities Comm,MN,Municipal,"6,102","53,067","5,202.6",9.80
Interstate Power and Light Co,MN,Investor Owned,"35,552","319,718","33,412.0",10.45
Itasca-Mantrap Co-op Electrical Assn,MN,Cooperative,"10,258","112,311","12,871.0",11.46
Kandiyohi Power Coop,MN,Cooperative,"7,203","102,044","12,162.0",11.92
Kenyon Municipal Utilities,MN,Municipal,816,"6,559",795.0,12.12
Lake Country Power,MN,Cooperative,"45,610","456,378","59,328.3",13.00
Lake Region Electric Cooperative - (MN),MN,Cooperative,"24,191","297,735","33,920.0",11.39
Litchfield Public Utilities,MN,Municipal,"2,703","31,660","2,821.0",8.91
Lyon-Lincoln Electric Coop Inc,MN,Cooperative,"3,643","65,107","7,045.8",10.82
McLeod Cooperative Power Assn,MN,Cooperative,"6,287","105,821","12,793.0",12.09
Meeker Coop Light & Power Assn,MN,Cooperative,"8,007","129,349","14,054.0",10.87
Melrose Public Utilities,MN,Municipal,"1,338","17,102","1,401.0",8.19
Mille Lacs Energy Cooperative,MN,Cooperative,"13,527","112,865","15,106.0",13.38
Minnesota Power Inc,MN,Investor Owned,"120,697","1,043,281","95,793.8",9.18
Minnesota Valley Coop L&P Assn,MN,Cooperative,"4,986","115,070","11,533.0",10.02
Minnesota Valley Electric Coop,MN,Cooperative,"32,123","420,421","43,975.0",10.46
Moose Lake Water & Light Comm,MN,Municipal,768,"6,306",523.0,8.29
New Prague Utilities Comm,MN,Municipal,"2,208","18,561","2,056.0",11.08
New Ulm Public Utilities Comm,MN,Municipal,"5,973","46,038","6,091.0",13.23
Nobles Cooperative Electric,MN,Cooperative,"4,802","89,090","9,531.5",10.70
North Itasca Electric Coop Inc,MN,Cooperative,"4,951","39,042","5,912.2",15.14
"North Star Electric Coop, Inc",MN,Cooperative,"5,797","72,009","9,387.0",13.04
Northern States Power Co - Minnesota,MN,Investor Owned,"1,098,341","8,906,808","1,022,574.0",11.48
Northwestern Wisconsin Elec Co,MN,Investor Owned,61,366,51.0,13.93
Otter Tail Power Co,MN,Investor Owned,"47,540","548,227","47,794.2",8.72
"P K M Electric Coop, Inc",MN,Cooperative,"3,373","74,364","8,586.0",11.55
People's Cooperative Services,MN,Cooperative,"14,123","177,331","25,495.0",14.38
Princeton Public Utils Comm,MN,Municipal,"2,251","15,811","2,424.0",15.33
"Red Lake Electric Coop, Inc",MN,Cooperative,"4,866","88,969","10,026.7",11.27
Red River Valley Coop Pwr Assn,MN,Cooperative,"4,158","87,025","10,103.7",11.61
Redwood Electric Coop,MN,Cooperative,"2,258","42,352","5,058.0",11.94
Redwood Falls Public Util Comm,MN,Municipal,"2,292","27,524","2,459.8",8.94
Renville-Sibley Coop Pwr Assn,MN,Cooperative,"1,676","34,318","3,616.4",10.54
